_date,time,preclose,high,low,match,open,volume,turnover,matchitems,,
1992/5/11,1992/5/11,468.11,544.56,468.11,544.35,483.29,19294600,325600000,0,,
1992/5/18,1992/5/18,544.35,1349.71,544.35,1339.99,560.09,32606400,624500000,0,,
1992/5/25,1992/5/25,1339.99,1429.01,823.36,1234.71,1411.98,31987600,763800000,0,,
1992/6/1,1992/6/1,1234.71,1249.58,1033.47,1105.76,1175.69,19875300,476600000,0,,
1992/6/8,1992/6/8,1105.76,1206.51,1079.65,1171.71,1092.07,20115000,528100000,0,,
1992/6/15,1992/6/15,1171.71,1186.59,1152.69,1171.94,1174.41,16190700,402200000,0,,
1992/6/22,1992/6/22,1171.94,1207.82,1144.46,1164.67,1173.68,11329600,323400000,0,,
1992/6/29,1992/6/29,1164.67,1215.13,1156.68,1189.16,1168.89,29267300,689400000,0,,
1992/7/6,1992/7/6,1189.16,1215.24,1166.45,1188.62,1197.76,31201600,804100000,0,,
1992/7/13,1992/7/13,1188.62,1214.83,1100.16,1125.56,1156.83,25400400,607000000,0,,
1992/7/20,1992/7/20,1125.56,1178.9,961.61,1142.02,1100.6,24912700,476100000,0,,
1992/7/27,1992/7/27,1142.02,1178.81,1032.54,1052.07,1169.42,39319100,478700000,0,,
1992/8/3,1992/8/3,1052.07,1060.36,983.22,1005.23,1034.7,32453200,422600000,0,,
1992/8/10,1992/8/10,1005.23,1006.64,627.36,858.38,992.73,55361200,784400000,0,,
1992/8/17,1992/8/17,858.38,999.69,858.38,916.25,898.66,66893500,948300000,0,,
1992/8/24,1992/8/24,916.25,920.85,825.01,848.2,888.95,43930400,628600000,0,,
1992/8/31,1992/8/31,848.2,848.4,742.74,753.58,833.5,48941600,642700000,0,,
1992/9/7,1992/9/7,753.58,789.18,595.42,776.29,745.69,53005000,706200000,0,,
1992/9/14,1992/9/14,776.29,793.36,694.32,754.4,762.82,55645700,782900000,0,,
1992/9/21,1992/9/21,754.4,760.13,708.5,729.79,740.97,37119300,459300000,0,,
1992/9/28,1992/9/28,729.79,729.79,698.91,702.32,724.45,19716500,219500000,0,,
1992/10/5,1992/10/5,702.32,702.32,640.22,660.29,676.47,39803800,479300000,0,,
1992/10/12,1992/10/12,660.29,713.77,648.84,664.75,687.45,47312400,647800000,0,,
1992/10/19,1992/10/19,664.75,667.46,524.07,559.73,643.8,52128400,574800000,0,,
1992/10/26,1992/10/26,559.73,561.5,447.93,507.25,539.5,65392500,581800000,0,,
